item_id,product_name,price,original_price,discount_pct,sold_lifetime,rating_avg,review_count,category,url,image_url,scraped_at
15530714020,TABI SOCKS IN (3 COLORWAYS),200,,,,5.0,1.0,"Sports Shoes and Clothing > Sports Accessories > Socks, Gloves & Protective Gear > TABI SOCKS IN (3 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i15530714020.html,https://filebroker-cdn.lazada.com.ph/kf/S87486ddfce7347f5abebc3e1a21b040bm.jpg,20260706_223212
15542851530,"""EDSA RACING CLUB"" TEE IN (2 COLORWAYS)",1088,,,,,,"Men's Clothing > Tops > Shirts > ""EDSA RACING CLUB"" TEE IN (2 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i15542851530.html,https://filebroker-cdn.lazada.com.ph/kf/Sb6da7471bf184b029cb23fc6afb398134.jpg,20260706_223212
15492965994,M'$ PAISLEY PAPER BAG,50,,,,,,"Toys & Games > Pretend Play, Costumes & Party > Costumes Props & Accessories > Gift bags > M'$ PAISLEY PAPER BAG",https://www.lazada.com.ph/products/pdp-i15492965994.html,https://filebroker-cdn.lazada.com.ph/kf/S9b550d445ac240eaabbe5aec9f984baa4.jpg,20260706_223212
15534344823,MANDARIN SHORTS IN (3 COLORWAYS),1270,,,,,,Men's Clothing > Bottoms > Short > MANDARIN SHORTS IN (3 COLORWAYS),https://www.lazada.com.ph/products/pdp-i15534344823.html,https://filebroker-cdn.lazada.com.ph/kf/Sa5f0bb301a1e405ebd5a26a540fb593fx.jpg,20260706_223212
15533830834,"""HITTER"" V3 TOPSHELF LITE TEE IN RAVEN",970,,,,,,"Men's Clothing > Tops > Shirts > ""HITTER"" V3 TOPSHELF LITE TEE IN RAVEN",https://www.lazada.com.ph/products/pdp-i15533830834.html,https://filebroker-cdn.lazada.com.ph/kf/Sf66e54e370f64281a160056a98370dc99.jpg,20260706_223212
15530203114,EXO™ ZIP TRUCKER JACKET IN WHEAT/HEATHER GREY,2470,,,,,,Men's Clothing > Tops > Bomber Jackets > EXO™ ZIP TRUCKER JACKET IN WHEAT/HEATHER GREY,https://www.lazada.com.ph/products/pdp-i15530203114.html,https://filebroker-cdn.lazada.com.ph/kf/Sde61fb57673c41199097f80e31dabc1du.jpg,20260706_223212
4880271520,SHINOBI CLOGS V2 (2 COLORWAYS),1470,,,7.0,,,"Men's Shoes > Sandals, Slides & Flip-Flops > Sandals > SHINOBI CLOGS V2 (2 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i4880271520.html,https://filebroker-cdn.lazada.com.ph/kf/S2534ff51ce634679bffe1c6a2596178a7.jpg,20260706_223212
15500953473,"""HITTER"" V3 CHOP CHOP LITE TEE IN ANTHRACITE",970,,,,1.0,1.0,"Men's Clothing > Tops > T-Shirts & Tanks > ""HITTER"" V3 CHOP CHOP LITE TEE IN ANTHRACITE",https://www.lazada.com.ph/products/pdp-i15500953473.html,https://filebroker-cdn.lazada.com.ph/kf/S7fa82ccd11384b66a490b5828b602c53K.jpg,20260706_223212
15533820725,"""HITTER"" V3 BOX LITE TEE IN ANTHRACITE",970,,,,,,"Men's Clothing > Tops > Shirts > ""HITTER"" V3 BOX LITE TEE IN ANTHRACITE",https://www.lazada.com.ph/products/pdp-i15533820725.html,https://filebroker-cdn.lazada.com.ph/kf/S19f0ccd346994b37b993f740539904b0A.jpg,20260706_223212
15481102696,MANDARIN L/S SHIRT IN (2 COLORWAYS),1470,,,,,,Men's Clothing > Tops > Shirts > MANDARIN L/S SHIRT IN (2 COLORWAYS),https://www.lazada.com.ph/products/pdp-i15481102696.html,https://filebroker-cdn.lazada.com.ph/kf/S0e328dd9a0404cfb8820b8d4299be423m.jpg,20260706_223212
15533797222,"""HITTER"" V3 LOUNGE LITE TEE ANTHRACITE",970,,,,,,"Men's Clothing > Tops > T-Shirts & Tanks > ""HITTER"" V3 LOUNGE LITE TEE ANTHRACITE",https://www.lazada.com.ph/products/pdp-i15533797222.html,https://filebroker-cdn.lazada.com.ph/kf/S6092c2f231e449638f555d01e5720291t.jpg,20260706_223212
15534384346,PACE SHORTS IN (3 COLORWAYS),1270,,,,,,Men's Clothing > Bottoms > Short > PACE SHORTS IN (3 COLORWAYS),https://www.lazada.com.ph/products/pdp-i15534384346.html,https://filebroker-cdn.lazada.com.ph/kf/S11893b96477d407182b7ee6c722ed796s.jpg,20260706_223212
15500765284,WAFFLE EXO™ TOPSHELF TEE IN ANTHRACITE/OLIVE,870,,,,5.0,,Men's Clothing > Tops > Shirts > WAFFLE EXO™ TOPSHELF TEE IN ANTHRACITE/OLIVE,https://www.lazada.com.ph/products/pdp-i15500765284.html,https://filebroker-cdn.lazada.com.ph/kf/Sdcae3251b7294bc5ae358f83d7f8c6c55.jpg,20260706_223212
5087127022,EXO™ MILITIA LONGSLEEVE TEE V3 IN OLIVE/TEAL,1070,,,5.0,5.0,1.0,Men's Clothing > Tops > T-Shirts & Tanks > EXO™ MILITIA LONGSLEEVE TEE V3 IN OLIVE/TEAL,https://www.lazada.com.ph/products/pdp-i5087127022.html,https://img.lazcdn.com/g/p/55f687c14839894fcc341c79a45b0d3d.jpg_200x200q80.jpg,20260706_223212
15485109822,"""HITTER"" V3 LOUNGE LITE TEE IN (2 COLORWAYS)",970,,,6.0,,,"Men's Clothing > Tops > T-Shirts & Tanks > ""HITTER"" V3 LOUNGE LITE TEE IN (2 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i15485109822.html,https://filebroker-cdn.lazada.com.ph/kf/S863ad50f0f6b412eb313ddcf9ceb52b8m.jpg,20260706_223212
